SUBPROCESO,Encuestas,Promotores,Neutros,Detractores,%Detractores,NPS,NPS Junio,Detrac Junio,NPS Julio,Detrac Julio,NPS Agosto,Detrac Agosto
Asesoría transferencias o pagos por PSE,23.0,16.0,2.0,5.0,21.7,47.8,100.0,0.0,60.0,1.0,33.3,4.0
Soporte y acompañamiento en el portal,63.0,45.0,4.0,14.0,22.2,49.2,40.0,6.0,47.8,5.0,60.0,3.0
Compra de cartera,32.0,23.0,2.0,7.0,21.9,50.0,30.8,4.0,62.5,3.0,66.7,0.0
Asesoria enrolamiento Soft token,4.0,3.0,0.0,1.0,25.0,50.0,,,0.0,1.0,100.0,0.0
Estado de la solicitud de crédito,77.0,56.0,6.0,15.0,19.5,53.2,44.8,7.0,76.5,3.0,14.3,5.0
Asesoria y acompañamiento en Bico,155.0,115.0,10.0,30.0,19.4,54.8,45.9,8.0,57.3,17.0,58.6,5.0
Solicitud de Prórroga,9.0,5.0,4.0,0.0,0.0,55.6,80.0,0.0,0.0,0.0,50.0,0.0
Información y/o aclaración condiciones,16.0,12.0,1.0,3.0,18.8,56.2,0.0,2.0,100.0,0.0,50.0,1.0
No registra en Cifin,10.0,7.0,2.0,1.0,10.0,60.0,100.0,0.0,50.0,1.0,60.0,0.0
Información y ofrecimiento de credito / Requisitos,352.0,266.0,39.0,47.0,13.4,62.2,59.7,19.0,68.8,16.0,52.6,12.0
Pago Minimo o Total,43.0,32.0,6.0,5.0,11.6,62.8,78.6,0.0,52.9,3.0,58.3,2.0
Asesoría Registro,17.0,13.0,2.0,2.0,11.8,64.7,50.0,1.0,100.0,0.0,63.6,1.0
Embargos de alimentos (cuotas alimentarias),42.0,33.0,4.0,5.0,11.9,66.7,83.3,1.0,50.0,3.0,66.7,1.0
Información o Estado del giro,285.0,212.0,56.0,17.0,6.0,68.4,61.8,4.0,62.0,6.0,79.8,7.0
Inconsistencias en cobros y registros BRE-B,4.0,3.0,1.0,0.0,0.0,75.0,100.0,0.0,50.0,0.0,100.0,0.0
"Pago Minimo, Total o numero de obligación",761.0,644.0,47.0,70.0,9.2,75.4,77.9,24.0,73.5,31.0,74.3,15.0
Crédito asociativo con Prosperidad Social,41.0,36.0,1.0,4.0,9.8,78.0,78.0,4.0,,,,
Estado del producto,10.0,9.0,0.0,1.0,10.0,80.0,66.7,1.0,100.0,0.0,,
Información Plan Alivios Especiales,10.0,8.0,2.0,0.0,0.0,80.0,50.0,0.0,80.0,0.0,100.0,0.0
Información Alternativas de pago,21.0,18.0,2.0,1.0,4.8,81.0,100.0,0.0,90.0,0.0,57.1,1.0
Bloqueo contra retiro,7.0,6.0,1.0,0.0,0.0,85.7,100.0,0.0,100.0,0.0,75.0,0.0
Bloqueo de producto,29.0,26.0,2.0,1.0,3.4,86.2,90.0,0.0,78.6,1.0,100.0,0.0
Pago no aplicado,1.0,1.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,
Incidencias en la apertura,1.0,1.0,0.0,0.0,0.0,100.0,,,100.0,0.0,,
Información casas de cobranza,4.0,4.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0
Falta de beneficios,1.0,1.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,
Pago domiciliado,1.0,1.0,0.0,0.0,0.0,100.0,,,100.0,0.0,,
Colombia Mayor,11.0,11.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0
Demora en llegada clave temporal,1.0,1.0,0.0,0.0,0.0,100.0,,,,,100.0,0.0
Asesoría cuentas maestras,1.0,1.0,0.0,0.0,0.0,100.0,,,100.0,0.0,,
Asesoría App (Aplicación Movil),1.0,1.0,0.0,0.0,0.0,100.0,,,,,100.0,0.0
Activación Ecommers,3.0,3.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,,
Cambio a Giro,1.0,1.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,
Cancelación cuenta Digital,1.0,1.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,
Cambio de tasa DTF a IBR,1.0,1.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,
Requisitos / Condiciones,4.0,4.0,0.0,0.0,0.0,100.0,,,100.0,0.0,100.0,0.0
Proceso activación Tarjeta de Crédito,1.0,1.0,0.0,0.0,0.0,100.0,,,100.0,0.0,,
Soporte apertura,2.0,2.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,,
